sector,year,exports,imports,base_imports,base_exports,base_total,total_trade,trade_change,trade_asymmetry
22,2020,98728497,38929369,67425494.33333333,289161001.3333333,356586495.6666667,137657866,-0.6139565920951725,2.536092917406393
22,2021,259727624,48418637,67425494.33333333,289161001.3333333,356586495.6666667,308146261,-0.1358442769295114,5.364207670695067
23,2015,2078583503,308596107,295791146.3333333,1136109129.3333333,1431900275.6666667,2387179610,0.6671409668446168,6.7356115513148715
23,2016,915897289,301468700,295791146.3333333,1136109129.3333333,1431900275.6666667,1217365989,-0.14982487978555872,3.0381173534764967
23,2017,413846596,277308632,295791146.3333333,1136109129.3333333,1431900275.6666667,691155228,-0.5173160870590582,1.492368243336904
23,2018,364154023,288489773,295791146.3333333,1136109129.3333333,1431900275.6666667,652643796,-0.5442114181477192,1.2622770617244723
23,2019,339956680,233743799,295791146.3333333,1136109129.3333333,1431900275.6666667,573700479,-0.5993432721891925,1.4543987111290169
23,2020,471855767,267362628,295791146.3333333,1136109129.3333333,1431900275.6666667,739218395,-0.48375008541999664,1.764853115522189
23,2021,689065109,314925604,295791146.3333333,1136109129.3333333,1431900275.6666667,1003990713,-0.29884033821240785,2.188025045432635
24,2015,198088633,19077662,24632113.333333332,177685757,202317870.33333334,217166295,0.07339156270379281,10.383276158263
24,2016,172285286,24139438,24632113.333333332,177685757,202317870.33333334,196424724,-0.02912815523227858,7.137087698561996
24,2017,162683352,30679240,24632113.333333332,177685757,202317870.33333334,193362592,-0.044263407471514374,5.302717798745992
24,2018,158024445,32769924,24632113.333333332,177685757,202317870.33333334,190794369,-0.056957407244093365,4.822240204157935
24,2019,2861323,27622180,24632113.333333332,177685757,202317870.33333334,30483503,-0.8493286680520301,0.10358787756795444
24,2020,253130,11139763,24632113.333333332,177685757,202317870.33333334,11392893,-0.9436881528001981,0.02272310461183061
24,2021,169536285,11625230,24632113.333333332,177685757,202317870.33333334,181161515,-0.10456987955871973,14.583477918286349
25,2015,217969738,488883415,463748151.6666667,264623895.33333334,728372047,706853153,-0.029543821853998193,0.4458521833881397
25,2016,218683453,420560275,463748151.6666667,264623895.33333334,728372047,639243728,-0.12236647379193012,0.5199812393122484
25,2017,357218495,481800765,463748151.6666667,264623895.33333334,728372047,839019260,0.1519102956459283,0.7414236774821227
25,2018,333578768,598411953,463748151.6666667,264623895.33333334,728372047,931990721,0.2795531141518395,0.5574400149055846
25,2019,249765326,460225243,463748151.6666667,264623895.33333334,728372047,709990569,-0.02523638582192872,0.5427023610697512
25,2020,250083690,178603495,463748151.6666667,264623895.33333334,728372047,428687185,-0.4114447599057848,1.4002172241926172
25,2021,293292185,331930343,463748151.6666667,264623895.33333334,728372047,625222528,-0.14161652609384115,0.8835955831853552
26,2015,984843709,53030547,51673173,1009467965.6666666,1061141138.6666666,1037874256,-0.02192628465606533,18.57125307419514
26,2016,967888076,42016867,51673173,1009467965.6666666,1061141138.6666666,1009904943,-0.04828405364723242,23.035703161780244
26,2017,1075672112,59972105,51673173,1009467965.6666666,1061141138.6666666,1135644217,0.07021033830329787,17.936207375078798
26,2018,756543880,48334998,51673173,1009467965.6666666,1061141138.6666666,804878878,-0.2414968672203798,15.65209292033073
26,2019,192128471,39128830,51673173,1009467965.6666666,1061141138.6666666,231257301,-0.7820673494097337,4.910151185200273
26,2020,647138181,52382323,51673173,1009467965.6666666,1061141138.6666666,699520504,-0.3407846717930908,12.354132919992876
26,2021,1246311428,87218427,51673173,1009467965.6666666,1061141138.6666666,1333529855,0.2566941440754924,14.289542598607058
27,2015,2217885279,504639367,611427676,4428613807.666667,5040041483.666667,2722524646,-0.45982098464409,4.394990609204692
27,2016,2570400441,654973200,611427676,4428613807.666667,5040041483.666667,3225373641,-0.36005017985417115,3.924436054788196
27,2017,8497555703,674670461,611427676,4428613807.666667,5040041483.666667,9172226164,0.8198711644982609,12.595120424280736
27,2018,8450679005,766465021,611427676,4428613807.666667,5040041483.666667,9217144026,0.8287833653492988,11.025524679488276
27,2019,3765817356,298980999,611427676,4428613807.666667,5040041483.666667,4064798355,-0.19349902809870734,12.59550730178676
27,2020,9894712513,106313175,611427676,4428613807.666667,5040041483.666667,10001025688,0.9843141609866634,93.07136686492525
27,2021,15397138049,160880615,611427676,4428613807.666667,5040041483.666667,15558018664,2.0868830572960735,95.70536542889272
28,2015,960648292,1364809987,1359353609.3333333,841211914.3333334,2200565523.6666665,2325458279,0.056754845056934455,0.7038696237207415
28,2016,773687029,1256296007,1359353609.3333333,841211914.3333334,2200565523.6666665,2029983036,-0.07751756802153087,0.6158477179654046
28,2017,789300422,1456954834,1359353609.3333333,841211914.3333334,2200565523.6666665,2246255256,0.020762722964596626,0.5417466647425255
28,2018,901987718,1781867607,1359353609.3333333,841211914.3333334,2200565523.6666665,2683855325,0.21962072755191472,0.5062035554474278
28,2019,906395213,1281839019,1359353609.3333333,841211914.3333334,2200565523.6666665,2188234232,-0.005603692111889328,0.7071053381625918
28,2020,892109276,981459143,1359353609.3333333,841211914.3333334,2200565523.6666665,1873568419,-0.14859684983240645,0.9089622144362661
28,2021,1275736630,1401019811,1359353609.3333333,841211914.3333334,2200565523.6666665,2676756441,0.21639479134431133,0.9105771524311443
29,2015,2463771537,6902571379,7142430861.333333,2598533529.3333335,9740964390.666666,9366342916,-0.03845835583031293,0.3569353218853545
29,2016,2528738344,6485218473,7142430861.333333,2598533529.3333335,9740964390.666666,9013956817,-0.07463404489634008,0.38992338570056373
29,2017,2803090707,8039502732,7142430861.333333,2598533529.3333335,9740964390.666666,10842593439,0.11309240072665322,0.3486646874119129
29,2018,2828584004,10065821965,7142430861.333333,2598533529.3333335,9740964390.666666,12894405969,0.32372991542344753,0.281008745618123
29,2019,2284348271,8124747929,7142430861.333333,2598533529.3333335,9740964390.666666,10409096200,0.06858990368279207,0.2811592791508498
29,2020,2450242154,7735736178,7142430861.333333,2598533529.3333335,9740964390.666666,10185978332,0.04568479295127343,0.3167432417057282
29,2021,2824873186,10804292252,7142430861.333333,2598533529.3333335,9740964390.666666,13629165438,0.399159764002302,0.2614584204233353
30,2015,1937835146,1286583486,1387462331.6666667,2129184426,3516646757.6666665,3224418632,-0.08309851566114165,1.5061868639591727
30,2016,2000804432,1387854495,1387462331.6666667,2129184426,3516646757.6666665,3388658927,-0.036394849834615696,1.441652881630073
30,2017,2448913700,1487949014,1387462331.6666667,2129184426,3516646757.6666665,3936862714,0.1194933654957575,1.6458317300917946
30,2018,2779122226,1588092921,1387462331.6666667,2129184426,3516646757.6666665,4367215147,0.24186915773641562,1.7499745696555498
30,2019,4143622191,1605449500,1387462331.6666667,2129184426,3516646757.6666665,5749071691,0.634816371154256,2.5809732358445405
30,2020,4643190794,2189500146,1387462331.6666667,2129184426,3516646757.6666665,6832690940,0.9429562907061968,2.1206624728857175
30,2021,6667096692,3468768526,1387462331.6666667,2129184426,3516646757.6666665,10135865218,1.8822528722575644,1.9220356279258974
31,2015,105025959,672039019,374295168.6666667,94219929.33333333,468515098,777064978,0.6585697692926856,0.15627955525005013
31,2016,74279183,262712953,374295168.6666667,94219929.33333333,468515098,336992136,-0.28072299603885975,0.2827389443565046
31,2017,103354646,188133534,374295168.6666667,94219929.33333333,468515098,291488180,-0.3778467732538259,0.5493685458542441
31,2018,248482870,69289674,374295168.6666667,94219929.33333333,468515098,317772544,-0.3217453496023729,3.586145750952732
31,2019,281443713,24834608,374295168.6666667,94219929.33333333,468515098,306278321,-0.34627865290266485,11.332722183494903
31,2020,216822336,22472920,374295168.6666667,94219929.33333333,468515098,239295256,-0.489247503396358,9.648160363673256
31,2021,144082641,27678261,374295168.6666667,94219929.33333333,468515098,171760902,-0.6333930267493749,5.2056247681167545
32,2015,406937570,555645953,536021763,429479321,965501084,962583523,-0.003021810175409394,0.7323684583733484
32,2016,424287266,496500659,536021763,429479321,965501084,920787925,-0.04631083252103319,0.8545552927453416
32,2017,457213127,555918677,536021763,429479321,965501084,1013131804,0.04933264269644259,0.8224460625560166
32,2018,462488914,701164151,536021763,429479321,965501084,1163653065,0.20523227190908053,0.6596014832481075
32,2019,421335891,406342139,536021763,429479321,965501084,827678030,-0.1427476947296726,1.036899328326861
32,2020,376872521,411655686,536021763,429479321,965501084,788528207,-0.18329640425344151,0.9155042279678363
32,2021,434894414,463738390,536021763,429479321,965501084,898632804,-0.06925759184336659,0.9378011900200887
33,2015,402369385,1136466352,1353742542.6666667,442573702,1796316244.6666667,1538835737,-0.14333807225266512,0.35405305602923826
33,2016,401651139,1369601596,1353742542.6666667,442573702,1796316244.6666667,1771252735,-0.013952726721189149,0.29326129596595474
33,2017,523700582,1555159680,1353742542.6666667,442573702,1796316244.6666667,2078860262,0.15729079897385415,0.3367503599373152
33,2018,711563536,1644153957,1353742542.6666667,442573702,1796316244.6666667,2355717493,0.31141579329041724,0.43278400600534517
33,2019,909568534,1245444894,1353742542.6666667,442573702,1796316244.6666667,2155013428,0.19968487419646694,0.7303161612223046
33,2020,934880065,995472110,1353742542.6666667,442573702,1796316244.6666667,1930352175,0.07461711195414013,0.9391323529897789
33,2021,974874578,1170110255,1353742542.6666667,442573702,1796316244.6666667,2144984833,0.19410200702050318,0.8331476233408449
34,2015,594189556,465073955,486609705.6666667,597685173,1084294878.6666667,1059263511,-0.023085387710626525,1.277623805013979
34,2016,576750034,495319354,486609705.6666667,597685173,1084294878.6666667,1072069388,-0.011275060785770896,1.1644003597727377
34,2017,622115929,499435808,486609705.6666667,597685173,1084294878.6666667,1121551737,0.0343604484963972,1.2456374153292589
34,2018,626680911,581597799,486609705.6666667,597685173,1084294878.6666667,1208278710,0.11434512305895368,1.0775159604756344
34,2019,504283244,533699274,486609705.6666667,597685173,1084294878.6666667,1037982518,-0.04271196108904989,0.9448827618229063
34,2020,568997366,1055422611,486609705.6666667,597685173,1084294878.6666667,1624419977,0.49813487913685717,0.5391180367652745
34,2021,665003862,700826581,486609705.6666667,597685173,1084294878.6666667,1365830443,0.25964852354511836,0.948885045214916
35,2015,260767967,346181022,343371515.6666667,287365161.6666667,630736677.3333334,606948989,-0.03771413521392857,0.7532705446805227
35,2016,284273282,311972563,343371515.6666667,287365161.6666667,630736677.3333334,596245845,-0.05468341000741513,0.9112124453072497
